kind,n,alpha,brier,delta_brier,accuracy,ece,logloss,avg_confidence
grid,231,1.0,0.2494699176182411,0.0,0.6103896103896104,0.13831121651009348,0.7643203084024471,0.7417417627879991
grid,231,0.9,0.24230542126064247,-0.0071644963575986376,0.6103896103896104,0.10717797611958878,0.6982165029700228,0.7175675865091992
grid,231,0.8,0.23674481481321596,-0.012725102805025146,0.6103896103896104,0.12123469699008674,0.6735234097540356,0.6933934102303992
grid,231,0.7,0.23278809827596156,-0.016681819342279552,0.6103896103896104,0.06903034369975945,0.660101056022155,0.6692192339515994
grid,231,0.6,0.23043527164887928,-0.01903464596936183,0.6103896103896104,0.056919907077029715,0.6533370926208353,0.6450450576727994
grid,231,0.5,0.2296863349319691,-0.019783582686272005,0.6103896103896104,0.04408373396778456,0.651379780086586,0.6208708813939995
grid,231,0.4,0.23054128812523106,-0.018928629493010052,0.6103896103896104,0.050466463617649227,0.6533071410247636,0.5966967051151996
grid,231,0.3,0.2330001312286651,-0.016469786389575997,0.6103896103896104,0.05817617306386977,0.6586251396789232,0.5725225288363996
grid,231,0.2,0.2370628642422713,-0.012407053375969812,0.6103896103896104,0.06960552618111895,0.6670799864816797,0.5483483525575998
grid,231,0.1,0.24272948716604958,-0.006740430452191526,0.6103896103896104,0.08621543411081045,0.6785772644558395,0.5241741762787999
grid,231,0.0,0.25,0.0005300823817588896,0.354978354978355,0.145021645021645,0.6931471805599453,0.5
analytic,231,0.5033049798393084,0.22968545897617668,-0.019784458642064434,0.6103896103896104,0.04903627227532546,0.6513787822679707,0.6216698330463327
